text,label,clean_text,char_count,word_count,avg_word_length,clean_word_count,exclamation_count,question_count,comma_count,dots_count,total_punctuation,has_emoji,emoji_count,hashtag_count,mention_count,has_hashtag,has_mention,elongation_count,has_elongation,repeated_word_count,repetition_ratio,has_repetition,negation_count,has_negation,has_egyptian,religious_term_count,has_religious_term,positive_words_count,negative_words_count,has_positive_word,has_negative_word
"من كتاب دعوة للتعايش للدكتور عمرو خالد: ""إذا كان لدي دائرتي وفكري، ولديك دائرتك وفكرك ، وإذا ظللنا على بُعد ستبقى",OBJ,كتاب دعوه للتعايش للدكتور عمرو خالد اذا لدي دائرتي وفكري ولديك دائرتك وفكرك واذا ظللنا علي ستبقي,113,21,4.428571428571429,17,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
اللهم لا تحرمنا خير ما عندك بشر ما عندنا,OBJ,اللهم تحرمنا خير عندك بشر عندنا,40,9,3.5555555555555554,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,1,0,2,1,0,0,0,0
"مؤتمر"" المفكرين"" في أبو ظبي :العالم يعيش ثورة العلم والتكنولوچيا والتواصل الإنساني ونحن نعيش حقبة الجهل والكذب وغياب القيم حزين عليك يا مصر",OBJ,مؤتمر المفكرين ابو ظبي العالم يعيش ثوره العلم والتكنولوچيا والتواصل الانساني ونحن نعيش حقبه الجهل والكذب وغياب القيم حزين مصر,139,23,5.086956521739131,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,3,1,0,0,0,0,1,0,1
انا لو نفسي اخطط و ارتب و اصرف فلوس الدنيا عشان اشوه الاخوان مش حاعرف اخترع حد زي صفوت حجازي,NEG,انا نفسي اخطط ارتب اصرف فلوس الدنيا عشان اشوه الاخوان مش حاعرف اخترع حد زي صفوت حجازي,92,20,3.65,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,1,0,0,0,0,0,0,0
"تحالف بين #أنصار_بيت_المقدس و #الحرس_الثوري لتنفيذ عمليات ""إرهابية"" في مصر #مصر #الإخوان #المد_الشيعي #عمليات_إرهابية",NEG,تحالف انصار بيت المقدس الحرس الثوري لتنفيذ عمليات ارهابيه مصر مصر الاخوان المد الشيعي عمليات ارهابيه,117,14,7.428571428571429,16,0,0,0,0,0,0,0,6,0,1,0,0,0,3,0.375,1,2,1,0,0,0,0,3,0,1
#أسم_فيلم_بتحبه أسف على الإزعاج,POS,اسم فيلم بتحبه اسف علي الازعاج,31,4,7.0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
_ 0 مش عيب تكذب؟ عمري ما عملت ولا هعمل بلوك لحد لا تمدح نفسك,NEG,مش عيب تكذب عمري عملت هعمل بلوك لحد تمدح نفسك,60,15,3.066666666666667,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,4,1,0,0,0,0,0,0,0
الضعف الانتخابي والجماهيري لا يقتصر على الأحزاب الجديدة ويطال بكل تأكيد قوى راسخة في المشهد السياسي إلا أن عقود سلطوية مبارك الطويلة أنهكتها,NEG,الضعف الانتخابي والجماهيري يقتصر علي الاحزاب الجديده ويطال بكل تاكيد قوي راسخه المشهد السياسي الا ان عقود سلطويه مبارك الطويله انهكتها,140,23,5.130434782608695,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6,1,0,0,0,0,0,0,0
#مصر_القوية |11-حذرنا من خطر تحول سلطات الدولة لمجرد سند لسلطة عسكرية لا تفهم سياسة ولا تعي معنى الدولة ومهامها وحدودها خارج فكرة حمل السلاح,NEG,مصر القويه حذرنا خطر تحول سلطات الدوله لمجرد سند لسلطه عسكريه تفهم سياسه تعي معني الدوله ومهامها وحدودها خارج فكره حمل السلاح,140,25,4.875,22,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.09090909090909091,1,4,1,1,0,0,0,0,0,0
دعلاء الأسوانى : هل يحاسب الروائى على خياله ؟! اقرأ المقال كاملاً على الرابط التالى,OBJ,دعلاء الاسواني يحاسب الروائي علي خياله اقرا المقال كاملا علي الرابط التالي,83,13,4.6,12,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0.16666666666666666,1,3,1,0,0,0,0,0,0,0
منذ عامين وحتى الآن كل ما قدمه أنصار تيارات الشعارات الإسلامية لمصر مجرد مشاريع خناقات مع العالم والكون وأبناء الوطن,NEG,عامين وحتي الان قدمه انصار تيارات الشعارات الاسلاميه لمصر مجرد مشاريع خناقات العالم والكون وابناء الوطن,116,20,4.85,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,1,0,0,0,0,0,0,0
دي نسخة أوضح من المعصرة على بوابة الشروق وبإذن الله بكره يوم أجازتي هانزل لكم مساءا مقتطفات منها زي الأسبوع اللي فات,OBJ,دي نسخه اوضح المعصره علي بوابه الشروق وباذن الله بكره يوم اجازتي هانزل مساءا مقتطفات زي الاسبوع اللي فات,116,22,4.318181818181818,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,1,1,0,0,0,0
والله كنت مسافر وبعدين عيان وشكلي هاغيب فترة عشان فجأة صحي مشروع فيلم مهم كنت باحلم بيه من زمان ويبدو إنه هيتحققهاغطس شهرين كده,OBJ,والله كنت مسافر وبعدين عيان وشكلي هاغيب فتره عشان فجاه صحي مشروع فيلم مهم كنت باحلم بيه زمان ويبدو انه هيتحققهاغطس شهرين كده,127,24,4.333333333333333,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08695652173913043,1,4,1,1,1,1,0,0,0,0
#باسم_طلع_حرامى يا حرامي,NEG,باسم طلع حرامي حرامي,24,3,7.333333333333333,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.5,1,0,0,0,0,0,0,1,0,1
أخبار #مصر #مبارك يظهر لأنصاره من شرفة غرفته أمام مستشفى #المعادى ويحييهم بالفيديو,OBJ,اخبار مصر مبارك يظهر لانصاره شرفه غرفته امام مستشفي المعادي ويحييهم بالفيديو,82,13,5.384615384615385,12,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0,2,1,0,0,0,0,0,0,0
دورة تدريبية فى رمى الطوب بخصوص اتهام النيابة العامة لى بالتحريض على قتل المتظاهرين السلميين الساجدين ! أمام,OBJ,دوره تدريبيه رمي الطوب بخصوص اتهام النيابه العامه بالتحريض علي قتل المتظاهرين السلميين الساجدين امام,108,17,5.055555555555555,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,4,1,0,0,0,0,0,0,0
أن تفقد مالك فقد فقدت غالياً في حياتك و أن تفقد شرفك و أمانتك فقد فقدت أغلىما في حياتك لكن إذا فقدت الأمل فقد فقدت كل شيء في حياتك#سوريا,OBJ,ان تفقد مالك فقد فقدت غاليا حياتك ان تفقد شرفك امانتك فقد فقدت اغليما حياتك اذا فقدت الامل فقد فقدت شيء حياتك سوريا,136,30,3.7241379310344827,23,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0.6086956521739131,1,3,1,0,0,0,0,0,0,0
#حاجات_بتفرح **,OBJ,حاجات بتفرح,15,1,7.0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
#غرد_بصوره #تصوير #تصميمي #مطر #جونا_خقه أتمنى يعجبكم وهلون،،،😗,OBJ,غرد بصوره تصوير تصميمي مطر جونا خقه اتمني يعجبكم وهلون,63,8,7.0,10,0,0,3,0,3,1,1,5,0,1,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0
"دعمرو حمزاوي برنامج "" أخر كلام "" 11 إبريل 2012",OBJ,دعمرو حمزاوي برنامج اخر كلام,46,8,3.7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,1,0,0,0,0,0,0
السلفي سعيد عبد العظيم قال أن مرسي آية من آيات الله ونسي أن الله تعالى أرسل إلى مصر أيام سيدنا موسى آيات منها الجراد والقمل والضفادع والدم,NEG,السلفي سعيد عبد العظيم قال ان مرسي ايه ايات الله ونسي ان الله تعالي ارسل الي مصر ايام سيدنا موسي ايات الجراد والقمل والضفادع والدم,138,27,4.148148148148148,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.24,1,0,0,0,2,1,2,0,1,0
#بلاغ_لمباحث_الانترنت اللى يعرف المعلومات دى لتزم يكون مشارك فى العمليه,OBJ,بلاغ لمباحث الانترنت اللي يعرف المعلومات دي لتزم يكون مشارك العمليه,71,10,6.2,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,6,1,0,0,0,0,0,0,0
مفيش نور يتقطع و محدش يقولي ده كلام احنا في دوله ماينفعش متقدرش توفر كهربتها #لو_بقيت_رئيس_جمهوريه,OBJ,مفيش نور يتقطع محدش يقولي ده كلام احنا دوله ماينفعش متقدرش توفر كهربتها بقيت رئيس جمهوريه,98,16,5.1875,16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,2,1,1,1,1,0,0,0,0
لسان العرب بين الألسنة كزمن الربيع بين الأزمنة #اليوم_العالمي_للغة_العربية,POS,لسان العرب الالسنه كزمن الربيع الازمنه اليوم العالمي للغه العربيه,74,9,7.333333333333333,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,1,1,0,1,1,0,0,0,0
بورك لك في المولود أدعو الله ان يجمع شمل الأسرة في بيتهم الطيب و يجعل من خالد نعم الإبن لنعم الأبوين #,POS,بورك المولود ادعو الله ان يجمع شمل الاسره بيتهم الطيب يجعل خالد الابن لنعم الابوين,102,21,3.6818181818181817,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,2,1,0,1,1,1,0,1,0
في القطاع الحكومي وإعطاء حوافز للمشروعات الصغيرة والمتوسطة وتبني مشروع قومي للتعليم ومحو الأمية,OBJ,القطاع الحكومي واعطاء حوافز للمشروعات الصغيره والمتوسطه وتبني مشروع قومي للتعليم ومحو الاميه,95,14,5.857142857142857,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,1,0,0,0,0,0,0,0
الكاتب الصحفي أنور الهواري ضيف #يوسف_الحسيني في #السادة_المحترمون,OBJ,الكاتب الصحفي انور الهواري ضيف يوسف الحسيني الساده المحترمون,65,8,7.25,9,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
"#اكتب_عبارة_على_باب_قلبك ' فراق وجهك ضيق ومواجهك عيد والوقت قاسي والتقاليد قـــشرا""",OBJ,اكتب عباره علي باب قلبك فراق وجهك ضيق ومواجهك عيد والوقت قاسي والتقاليد قـشرا,83,10,6.636363636363637,14,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0
وهاأنذا اجدد العرض مرة اخرى ولن اكل ولن امل وفى انتظار حملات تشويه اخرى انا لها باذن الله 8,OBJ,وهاانذا اجدد العرض مره اخري ولن اكل ولن امل وفي انتظار حملات تشويه اخري انا باذن الله,91,19,3.8421052631578947,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.23529411764705882,1,3,1,0,1,1,0,0,0,0
اكثر شعور يوجع ! ^#لما تجوع في بيت مو بيتكم ☺**,NEG,اكثر شعور يوجع تجوع بيت مو بيتكم,47,9,3.3636363636363638,7,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0.0,0,2,1,0,0,0,0,0,0,0
5 هاتلي اخوان أي حاجة مش تنوين ومش ضمير اخوان وبعدها كلمة مش هتلاقي غير لوط وشياطين!,NEG,هاتلي اخوان اي حاجه مش تنوين ومش ضمير اخوان وبعدها كلمه مش هتلاقي لوط وشياطين,84,17,4.0,15,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0.26666666666666666,1,6,1,1,0,0,0,0,0,0
​مرت سنتين و أكثر علي فراقهم و أنت أعدت فقط نصف حقهم إفرح لأنك أعدت البسمة لوجوه أهلهم ٢٥ #مذبحة_بورسعيد,OBJ,مرت سنتين اكثر علي فراقهم انت اعدت فقط نصف حقهم افرح لانك اعدت البسمه لوجوه اهلهم مذبحه بورسعيد,104,20,4.25,18,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.1111111111111111,1,0,0,0,0,0,1,0,1,0
#تيتو_فيلانوفا ، اول سنة تدريب حقق ال100 نقطة ولم يتحدث عنها الكثير مورينيو زليون سنة تدريب ويُلقب بـ سبيشل ون حقق ال100 قالو…,OBJ,تيتو فيلانوفا اول سنه تدريب حقق ال نقطه ولم يتحدث عنها الكثير مورينيو زليون سنه تدريب ويلقب بـ سبيشل ون حقق ال قالو,126,23,4.521739130434782,23,0,0,1,0,1,0,0,1,0,1,0,0,0,4,0.34782608695652173,1,2,1,0,0,0,0,0,0,0
ميثاق الشرف الانتخابي وقع عليه معظم مرشحي الدائرة وهدفه البعد عن الدعاية السلبية وحملات التشهير و الدعاية الإيجابية للبرنامج والمرشح,OBJ,ميثاق الشرف الانتخابي وقع معظم مرشحي الدائره وهدفه البعد الدعايه السلبيه وحملات التشهير الدعايه الايجابيه للبرنامج والمرشح,132,20,5.65,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11764705882352941,1,3,1,0,0,0,0,0,0,0
عايز تكون عضو في حمله المشير السيسي سهل جداًً ساعدنا اننا نعمل مليون شييييييييييييييييييييييييييير #سأنتخب_السيسي …,POS,عايز تكون عضو حمله المشير السيسي سهل جدا ساعدنا اننا نعمل مليون شير سانتخب السيسي,115,15,6.25,15,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0.13333333333333333,1,2,1,1,0,0,0,0,0,0
#الشروق | المستشار #عبدالمجيد_محمود يعتزم تقديم استقالته خلال أيام #النائب_العام,OBJ,الشروق المستشار عبدالمجيد محمود يعتزم تقديم استقالته خلال ايام النائب العام,80,9,7.1,11,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0,4,1,0,0,0,1,0,1,0
الماظة:لابد من معايرة العدادات وتوحيد التعريفة لكل القاطنين،التقديرات الجزافية ظلم ولابد أن تتوقف,NEG,الماظه لابد معايره العدادات وتوحيد التعريفه لكل القاطنين التقديرات الجزافيه ظلم ولابد ان تتوقف,97,15,6.538461538461538,14,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0.0,0,5,1,0,0,0,0,0,0,0
هل يمكن ان نترك الثورة تنكسر خوفا من ان يستغل الاخوان النصر لصالحهم ام واجبنا ان ننصر الثورة ثم نحمي النصر من الاستغلال سؤال اوجهه للجميع,OBJ,يمكن ان نترك الثوره تنكسر خوفا ان يستغل الاخوان النصر لصالحهم ام واجبنا ان ننصر الثوره نحمي النصر الاستغلال سؤال اوجهه للجميع,137,26,4.3076923076923075,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3181818181818182,1,5,1,0,0,0,0,1,0,1
"من سنن التي تفعل في وضع التشهد وضع اليدين على الفخذين "" اليمنى على اليمنى واليسرى على اليسرى مبسوطتي الأصابع مضمومتين "" #نشر_سيرته #",OBJ,سنن تفعل وضع التشهد وضع اليدين علي الفخذين اليمني علي اليمني واليسري علي اليسري مبسوطتي الاصابع مضمومتين نشر سيرته,132,21,4.541666666666667,19,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0.3684210526315789,1,2,1,0,0,0,1,0,1,0
كلام الناس لا بيقدم ولا يأخر كلام الناس #عن #النيزك مش أكتر !,OBJ,كلام الناس بيقدم ياخر كلام الناس النيزك مش اكتر,61,12,3.769230769230769,9,1,0,0,0,1,0,0,2,0,1,0,0,0,2,0.4444444444444444,1,8,1,0,0,0,0,0,0,0
هل هناك فرق بين الفاشية العسكرية والفاشية الدينية ؟! د علاء الأسواني يكتب : كيف نتحرر من الفاشية ؟! >>,OBJ,فرق الفاشيه العسكريه والفاشيه الدينيه علاء الاسواني يكتب نتحرر الفاشيه,102,16,4.15,10,2,2,0,0,5,0,0,0,0,0,0,0,0,1,0.2,1,1,1,0,0,0,0,0,0,0
